Number;Name;Platform;Year;Genre;Publisher;Cluster
14;Wii Fit;Wii;2007;Sports;Nintendo;1
44;Halo 3;X360;2007;Shooter;Microsoft Game Studios;2
49;Super Mario Galaxy;Wii;2007;Platform;Nintendo;3
71;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;4
75;Mario Party DS;DS;2007;Misc;Nintendo;5
81;Mario Party 8;Wii;2007;Misc;Nintendo;6
86;Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;7
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;9
151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;8
159;Assassin's Creed;X360;2007;Adventure;Ubisoft;9
178;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;12
187;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;10
207;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;9
208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;8
210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;11
211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;15
213;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;9
219;Assassin's Creed;PS3;2007;Adventure;Ubisoft;15
231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;9
238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;9
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;12
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;15
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;13
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;15
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;15
301;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;14
317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;14
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;15
327;Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment;15
330;Super Paper Mario;Wii;2007;Platform;Nintendo;10
338;MySims;DS;2007;Simulation;Electronic Arts;15
349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment;20
356;Cooking Mama 2: Dinner With Friends;DS;2007;Simulation;505 Games;15
425;Crisis Core: Final Fantasy VII;PSP;2007;Role-Playing;Square Enix;12
441;FIFA Soccer 08;PS2;2007;Sports;Electronic Arts;19
446;The Elder Scrolls IV: Oblivion;PS3;2007;Role-Playing;Ubisoft;15
470;Dragon Ball Z: Budokai Tenkaichi 3;PS2;2007;Fighting;Atari;12
490;Mass Effect;X360;2007;Role-Playing;Microsoft Game Studios;15
