Number;Name;Platform;Year;Genre;Publisher;Cluster
1;Wii Sports;Wii;2006;Sports;Nintendo;1
3;Mario Kart Wii;Wii;2008;Racing;Nintendo;2
4;Wii Sports Resort;Wii;2009;Sports;Nintendo;3
8;Wii Play;Wii;2006;Misc;Nintendo;4
9;New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo;5
14;Wii Fit;Wii;2007;Sports;Nintendo;6
15;Wii Fit Plus;Wii;2009;Sports;Nintendo;7
40;Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;8
49;Super Mario Galaxy;Wii;2007;Platform;Nintendo;9
61;Just Dance 3;Wii;2011;Misc;Ubisoft;10
69;Just Dance 2;Wii;2010;Misc;Ubisoft;11
79;Wii Party;Wii;2010;Misc;Nintendo;12
81;Mario Party 8;Wii;2007;Misc;Nintendo;13
86;Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;14
92;Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;15
101;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;16
103;Just Dance;Wii;2009;Misc;Ubisoft;17
112;Just Dance 4;Wii;2012;Misc;Ubisoft;18
118;Zumba Fitness;Wii;2010;Sports;505 Games;18
126;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;19
151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;20
207;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;21
227;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;22
231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;23
234;Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega;24
248;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;23
285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;25
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;26
304;EA Sports Active;Wii;2009;Sports;Electronic Arts;26
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;27
324;Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega;27
328;Just Dance 2014;Wii;2013;Misc;Ubisoft;28
330;Super Paper Mario;Wii;2007;Platform;Nintendo;29
344;Guitar Hero: World Tour;Wii;2008;Misc;Activision;28
406;Mario Party 9;Wii;2012;Misc;Nintendo;30
413;Wii Music;Wii;2008;Misc;Nintendo;31
432;LEGO Batman: The Videogame;Wii;N/A;Action;Warner Bros. Interactive Entertainment;32
461;Epic Mickey;Wii;2010;Platform;Disney Interactive Studios;32
491;WarioWare: Smooth Moves;Wii;2006;Puzzle;Nintendo;33
492;Cooking Mama: Cook Off;Wii;2007;Simulation;505 Games;32
502;Zumba Fitness 2;Wii;2011;Sports;Majesco Entertainment;32
513;Skylanders: Spyro's Adventure;Wii;2011;Action;Activision;32
543;Sonic and the Secret Rings;Wii;2007;Platform;Sega;32
572;Skylanders Giants;Wii;2012;Action;Activision;34
582;Mario Strikers Charged;Wii;2007;Sports;Nintendo;35
588;Super Mario All-Stars: Limited Edition;Wii;2010;Platform;Nintendo;36
606;Deca Sports;Wii;2008;Sports;Konami Digital Entertainment;35
611;Game Party;Wii;2007;Misc;Midway Games;34
619;LEGO Harry Potter: Years 1-4;Wii;2010;Action;Warner Bros. Interactive Entertainment;34
628;uDraw Studio;Wii;2010;Misc;THQ;34
653;LEGO Indiana Jones: The Original Adventures;Wii;N/A;Action;LucasArts;34
677;Skylanders SWAP Force;Wii;2013;Platform;Activision;34
679;My Fitness Coach;Wii;2008;Sports;Ubisoft;34
684;Just Dance Kids;Wii;2010;Misc;Ubisoft;34
700;Just Dance 2015;Wii;2014;Misc;Ubisoft;34
709;Super Monkey Ball: Banana Blitz;Wii;2006;Misc;Sega;34
713;Call of Duty 3;Wii;N/A;Shooter;Activision;34
714;Resident Evil 4;Wii;2007;Action;Capcom;34
720;Monster Hunter Tri;Wii;2009;Role-Playing;Nintendo;37
740;Sonic Unleashed;Wii;2008;Platform;Sega;34
758;Your Shape featuring Jenny McCarthy;Wii;2009;Sports;Ubisoft;34
775;Kirby's Epic Yarn;Wii;2010;Platform;Nintendo;38
783;Mario Sports Mix;Wii;2010;Sports;Nintendo;39
784;Rock Band;Wii;N/A;Misc;MTV Games;40
797;Wipeout: The Game;Wii;2009;Misc;Mindscape;40
804;Dance Dance Revolution: Hottest Party;Wii;2007;Simulation;Konami Digital Entertainment;40
833;Rayman Raving Rabbids: TV Party;Wii;2008;Misc;Ubisoft;40
863;Call of Duty: World at War;Wii;2008;Shooter;Activision;40
894;Mario Super Sluggers;Wii;2008;Sports;Nintendo;41
898;Monopoly;Wii;2008;Misc;Electronic Arts;40
903;Toy Story Mania!;Wii;2009;Misc;Disney Interactive Studios;40
905;Star Wars: The Force Unleashed;Wii;2008;Action;LucasArts;40
906;Game Party 2;Wii;2008;Misc;Midway Games;40
908;LEGO Star Wars III: The Clone Wars;Wii;2011;Action;LucasArts;40
935;GoldenEye 007 (2010);Wii;2010;Action;Activision;40
938;Rayman Raving Rabbids 2;Wii;2007;Misc;Ubisoft;40
957;Metroid Prime 3: Corruption;Wii;2007;Shooter;Nintendo;40
982;High School Musical: Sing It!;Wii;2007;Misc;Disney Interactive Studios;40
1019;The Beatles: Rock Band;Wii;2009;Misc;MTV Games;40
1021;Sonic Colors;Wii;2010;Platform;Sega;40
1031;Disney Infinity;Wii;2013;Action;Disney Interactive Studios;40
1043;Game Party 3;Wii;2009;Puzzle;Warner Bros. Interactive Entertainment;40
1050;Cabela's Big Game Hunter 2010;Wii;2009;Sports;Activision Value;40
1053;We Ski;Wii;2008;Sports;Namco Bandai Games;40
1055;Kirby's Return to Dreamland;Wii;2011;Platform;Nintendo;42
1081;Star Wars The Clone Wars: Lightsaber Duels;Wii;2008;Action;LucasArts;40
1082;MySims;Wii;2007;Simulation;Electronic Arts;40
1084;Shaun White Snowboarding: Road Trip;Wii;2008;Sports;Ubisoft;40
1086;Big Beach Sports;Wii;2008;Sports;THQ;40
1111;Go Vacation;Wii;2011;Misc;Namco Bandai Games;43
1116;LEGO Pirates of the Caribbean: The Video Game;Wii;2011;Action;Disney Interactive Studios;40
1141;Pokemon Battle Revolution;Wii;2006;Role-Playing;Nintendo;43
1150;Dance Dance Revolution: Hottest Party 2;Wii;2008;Simulation;Konami Digital Entertainment;40
1171;Carnival Games: Mini Golf;Wii;2008;Sports;Take-Two Interactive;40
1176;Guitar Hero 5;Wii;2009;Misc;Activision;40
1200;Active Life: Outdoor Challenge;Wii;2008;Sports;Atari;43
1211;Resident Evil: The Umbrella Chronicles;Wii;2007;Action;Capcom;43
1221;MySims Kingdom;Wii;2008;Simulation;Electronic Arts;40
1225;Call of Duty: Modern Warfare: Reflex Edition;Wii;2009;Shooter;Activision;40
1244;Sonic & Sega All-Stars Racing;Wii;2010;Racing;Sega;40
1268;Disney Sing It: Pop Hits;Wii;2009;Misc;Disney Interactive Studios;40
1276;The Sims 3;Wii;2010;Simulation;Electronic Arts;40
1277;New Play Control! Mario Power Tennis;Wii;2009;Sports;Nintendo;43
1296;The House of the Dead 2 & 3 Return;Wii;2008;Shooter;Sega;40
1312;LEGO Batman 2: DC Super Heroes;Wii;2012;Action;Warner Bros. Interactive Entertainment;40
1324;Smarty Pants;Wii;2007;Misc;Electronic Arts;40
1330;Hasbro Family Game Night;Wii;2008;Puzzle;Electronic Arts;40
1342;Rayman Raving Rabbids;Wii;2006;Misc;Ubisoft;40
