Number;Name;Platform;Year;Genre;Publisher;Cluster
17;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;1
18;Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive;1
24;Grand Theft Auto V;X360;2013;Action;Take-Two Interactive;2
25;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;2
39;Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;3
45;Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;3
52;Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;3
57;Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;3
91;Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;4
124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;5
135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive;5
198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;6
199;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;6
251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;6
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;6
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;6
341;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;6
361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive;6
385;Borderlands;X360;2009;Shooter;Take-Two Interactive;6
389;Grand Theft Auto 2;PS;1998;Action;Take-Two Interactive;6
408;Max Payne;PS2;2001;Shooter;Take-Two Interactive;6
418;L.A. Noire;PS3;2011;Adventure;Take-Two Interactive;6
454;Borderlands 2;X360;2012;Shooter;Take-Two Interactive;7
469;NBA 2K13;X360;2012;Sports;Take-Two Interactive;7
516;BioShock;X360;2007;Shooter;Take-Two Interactive;7
550;L.A. Noire;X360;2011;Adventure;Take-Two Interactive;7
577;Midnight Club: Street Racing;PS2;2000;Racing;Take-Two Interactive;7
585;NBA 2K12;X360;2011;Sports;Take-Two Interactive;7
595;Ghostbusters: The Video Game (DS Version);X360;2009;Action;Take-Two Interactive;7
618;Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB;2003;Action;Take-Two Interactive;7
624;NBA 2K13;PS3;2012;Sports;Take-Two Interactive;7
626;NBA 2K14;X360;2013;Sports;Take-Two Interactive;7
629;Midnight Club: Los Angeles;PS3;2008;Racing;Take-Two Interactive;7
663;NBA 2K15;PS4;2014;Sports;Take-Two Interactive;7
676;Midnight Club: Los Angeles;X360;2008;Racing;Take-Two Interactive;7
683;NBA 2K16;XOne;2015;Sports;Take-Two Interactive;7
686;Grand Theft Auto;PS;1997;Action;Take-Two Interactive;7
705;Borderlands 2;PS3;2012;Shooter;Take-Two Interactive;7
732;BioShock 2;X360;2010;Shooter;Take-Two Interactive;7
778;NBA 2K12;PS3;2011;Sports;Take-Two Interactive;7
779;Borderlands;PS3;2009;Shooter;Take-Two Interactive;7
796;NBA 2K11;X360;2010;Action;Take-Two Interactive;7
806;Ghostbusters: The Video Game (DS Version);PS3;2010;Action;Take-Two Interactive;7
810;Spec Ops: Airborne Commando;PS;2002;Shooter;Take-Two Interactive;7
824;Carnival Games;DS;2008;Misc;Take-Two Interactive;7
825;NBA 2K14;PS3;2013;Sports;Take-Two Interactive;7
867;BioShock Infinite;X360;2013;Shooter;Take-Two Interactive;7
875;Grand Theft Auto: San Andreas;XB;2005;Action;Take-Two Interactive;7
910;Max Payne 3;PS3;2012;Shooter;Take-Two Interactive;7
967;NBA 2K11;PS3;2010;Action;Take-Two Interactive;7
973;Midnight Club II;PS2;2003;Racing;Take-Two Interactive;7
997;State of Emergency;PS2;2002;Action;Take-Two Interactive;7
998;BioShock Infinite;PS3;2013;Shooter;Take-Two Interactive;7
1034;Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;PS2;2003;Action;Take-Two Interactive;7
1060;NBA 2K15;XOne;2014;Sports;Take-Two Interactive;7
1071;Sid Meier's Civilization V;PC;2010;Strategy;Take-Two Interactive;7
1103;Max Payne 3;X360;2012;Shooter;Take-Two Interactive;7
1132;NBA 2K15;X360;2014;Sports;Take-Two Interactive;7
1152;Dollar Dash;PS2;2005;Action;Take-Two Interactive;7
1171;Carnival Games: Mini Golf;Wii;2008;Sports;Take-Two Interactive;7
1187;Smuggler's Run;PS2;2000;Racing;Take-Two Interactive;7
1196;Mafia II;X360;2010;Action;Take-Two Interactive;7
1201;BioShock 2;PS3;2010;Shooter;Take-Two Interactive;7
1239;Mafia II;PS3;2010;Action;Take-Two Interactive;7
1284;Major League Baseball 2K5;PS2;2005;Sports;Take-Two Interactive;7
1320;BioShock;PS3;2008;Shooter;Take-Two Interactive;7
1321;Red Dead Revolver;PS2;2004;Shooter;Take-Two Interactive;7
1406;Duke Nukem: Time to Kill;PS;1998;Shooter;Take-Two Interactive;7
1424;NBA 2K15;PS3;2014;Sports;Take-Two Interactive;7
